#all units are SI,,,
number,initial_pipe_flow,initial_pipe_pressure_in,initial_pipe_pressure_out
1,49.83,7158000,7016600
2,51.59,7016600,6846500
3,99.32,6846500,6269100
4,59.46,6846500,6381200
5,26.62,6381200,5651000
6,-65.48,7158000,7399100
7,-86.79,7399100,7500000
8,197.89,7500000,7131800
9,67.65,7131800,7016600
10,26.83,7131800,7116000
11,61.77,7131800,7099500
12,150.99,7158000,7087700
13,156.31,7016600,6932100
