# all units are SI,,
number,initial_nodal_flow,initial_nodal_pressure
1,135.337,7158000
2,-60.553,7016600
3,-49.126,6846500
4,-99.318,6269100
5,-32.842,6381200
6,-26.621,5651000
7,-21.318,7399100
8,284.68,7500000
9,-41.639,7131800
10,-26.834,7116000
11,-61.766,7099500
